state_name,date_year,traffic_per_1000
Alabama,2005,11.79
Alaska,2005,14.06
Arizona,2005,5.42
Arkansas,2005,5.57
California,2005,2.73
Colorado,2005,6.05
Connecticut,2005,0.63
Delaware,2005,3.64
Florida,2005,5.64
Georgia,2005,4.45
Hawaii,2005,7.11
Idaho,2005,5.46
Illinois,2005,3.45
Indiana,2005,3.8
Iowa,2005,0.7
Kansas,2005,-1.03
Kentucky,2005,6.01
Louisiana,2005,6.95
Maine,2005,12.3
Maryland,2005,8.57
Massachusetts,2005,7.77
Michigan,2005,6.86
Minnesota,2005,6.07
Mississippi,2005,5.21
Missouri,2005,7.2
Montana,2005,6.86
Nebraska,2005,4.27
Nevada,2005,11.56
New Hampshire,2005,3.25
New Jersey,2005,7.1
New Mexico,2005,9.48
New York,2005,6.58
North Carolina,2005,8.11
North Dakota,2005,-0.58
Ohio,2005,3.72
Oklahoma,2005,5
Oregon,2005,3.74
Pennsylvania,2005,4.96
Rhode Island,2005,5.51
South Carolina,2005,7.61
South Dakota,2005,2.6
Tennessee,2005,3.49
Texas,2005,11.95
Utah,2005,2.92
Vermont,2005,6.48
Virginia,2005,4.83
Washington,2005,5.56
West Virginia,2005,7.49
Wisconsin,2005,5.73
Wyoming,2005,3.25
Alabama,2006,5.48
Alaska,2006,-3.15
Arizona,2006,5.15
Arkansas,2006,-0.66
California,2006,3.15
Colorado,2006,1.17
Connecticut,2006,-1.44
Delaware,2006,7
Florida,2006,7.11
Georgia,2006,7.52
Hawaii,2006,5.05
Idaho,2006,5.34
Illinois,2006,3.8
Indiana,2006,4.47
Iowa,2006,7.36
Kansas,2006,3.26
Kentucky,2006,3.32
Louisiana,2006,7.75
Maine,2006,4.34
Maryland,2006,2.91
Massachusetts,2006,7.1
Michigan,2006,1.41
Minnesota,2006,3.5
Mississippi,2006,11.22
Missouri,2006,4.58
Montana,2006,4.64
Nebraska,2006,12.17
Nevada,2006,7.2
New Hampshire,2006,6.42
New Jersey,2006,4.3
New Mexico,2006,2.44
New York,2006,4.31
North Carolina,2006,7.92
North Dakota,2006,8.27
Ohio,2006,1.93
Oklahoma,2006,3.98
Oregon,2006,2.33
Pennsylvania,2006,9.22
Rhode Island,2006,8.56
South Carolina,2006,2.42
South Dakota,2006,4.13
Tennessee,2006,-0.74
Texas,2006,4.32
Utah,2006,3.18
Vermont,2006,11.06
Virginia,2006,3.52
Washington,2006,6.3
West Virginia,2006,-0.09
Wisconsin,2006,6.96
Wyoming,2006,6.65
